S1,S2,S3,S4,T1,T2,T3,T4
3982,1856,1449,3801,3209,1632,1288,3462
3908,1909,1304,3767,3206,1693,1249,3564
4110,1998,1662,4269,3222,1608,1245,3490
4041,2069,1667,4561,3070,1508,1157,3706
3251,1772,1435,2895,2244,1576,1469,2397
3789,1876,1545,3362,2842,1634,1452,2876
3579,1779,1429,3283,2775,1629,1405,3067
3452,1634,1322,3334,2814,1424,1265,3044
3455,1619,1282,3457,2847,1465,1252,3194
3431,1584,1282,3503,2868,1591,1463,3285
3325,1539,1165,3520,2892,1492,1179,3293
3360,1511,1139,3444,2850,1570,1304,3222
3829,1780,1486,3540,3218,1719,1477,3341
3971,1882,1476,3556,3215,1747,1477,3303
3906,1790,1481,3605,3284,1720,1478,3425
3994,1890,1480,3588,3259,1713,1418,3324
3976,1808,1467,3681,3267,1639,1385,3454
4037,1926,1453,3802,3222,1667,1275,3494
3872,1857,1678,4324,3112,1529,1186,3622
4092,2123,1642,4528,3008,1478,1129,3651
4174,2229,2092,4749,3016,1495,1284,3777
3967,1987,1658,3799,3125,1679,1458,3488
3842,1965,1549,3288,2883,1689,1469,2844
3890,1943,1671,3465,2996,1715,1479,3106
3702,1870,1528,3427,2906,1685,1421,3086
3553,1760,1383,3484,2773,1586,1359,3160
3460,1623,1263,3350,2853,1645,1319,3251
3338,1480,1181,3291,2832,1543,1326,3197
3278,1526,1121,3441,2851,1491,1186,3335
3367,1502,1103,3417,2926,1499,1192,3306
3970,1776,1476,3518,3321,1758,1509,3348
3921,1796,1464,3599,3242,1680,1400,3373
4026,1847,1501,3703,3364,1659,1417,3401
3915,1810,1446,3581,3251,1638,1365,3441
4076,1900,1584,3769,3311,1610,1361,3398
3967,1850,1561,3894,3071,1518,1268,3552
3921,1870,1726,4065,3158,1637,1392,3581
3807,1791,1532,3622,3179,1686,1482,3290
2810,1426,1266,2554,2169,1454,1445,2084
3223,1560,1356,2946,2687,1488,1342,2709
3423,1569,1315,3366,2831,1570,1321,3114
3438,1536,1236,3292,2823,1521,1294,3098
3917,1852,1389,3623,3100,1794,1510,3222
3917,2122,1628,3478,3119,2115,1777,3316
2909,1300,1090,3262,2225,1181,927,2958
3336,1491,1084,3472,2984,1477,1113,3280
3273,1456,1086,3406,2841,1484,1156,3312
3349,1519,1135,3365,2936,1531,1162,3331
3463,1798,1674,3318,3213,1722,1509,3285
3911,1876,1497,3526,3318,1736,1435,3362
3869,1812,1505,3558,3323,1643,1408,3399
3976,1890,1466,3545,3336,1669,1389,3409
3958,1811,1485,3671,3278,1648,1406,3403
4068,1954,1570,3755,3218,1709,1455,3355
3824,1894,1646,3802,3107,1608,1405,3401
3884,1790,1786,4088,3161,1556,1411,3402
3185,1610,1394,2960,2575,1391,1247,2651
3262,1459,1266,3020,2717,1437,1300,2829
3244,1569,1412,3184,2784,1475,1293,3021
3654,1768,1376,3369,2938,1685,1357,3143
3836,2118,1653,3534,3183,2018,1681,3345
3637,1960,1651,3328,3074,2030,1778,3145
3277,1562,1341,3170,2763,1741,1555,2934
3244,1603,1362,3344,2381,1609,1547,2755
3284,1389,1075,3402,2623,1331,1033,3106
3343,1480,1038,3508,2931,1505,1082,3312
3358,1448,1077,3442,2854,1497,1132,3265
3302,1508,1162,3431,2902,1521,1207,3299
2652,2001,2057,2599,2758,1854,1763,3011
3416,1861,1676,3117,3227,1726,1569,3223
3817,1808,1507,3513,3239,1676,1427,3353
3942,1776,1505,3635,3344,1680,1447,3327
3978,1854,1509,3632,3253,1710,1450,3400
3882,1833,1514,3573,3243,1709,1520,3366
3797,1863,1533,3489,3181,1709,1506,3308
3617,1883,1708,3582,3106,1645,1443,3416
3806,2401,1957,3454,3022,2121,1816,3295
3495,1994,1713,3309,2874,1815,1609,2984
3358,1730,1561,3395,2730,1508,1335,2988
3388,1828,1539,3434,2700,1546,1360,3147
3436,1382,1000,3476,2783,1395,1055,3213
3365,1436,988,3542,2930,1462,1104,3361
3368,1562,1132,3463,2912,1467,1143,3295
3344,1545,1132,3429,2851,1510,1171,3264
3890,1891,1528,3524,3244,1774,1490,3303
3810,1846,1461,3497,3219,1700,1448,3310
3827,1801,1519,3455,3240,1711,1491,3263
3467,1412,984,3493,2878,1391,1037,3301
3348,1458,1018,3454,2870,1412,1069,3395
3431,1540,1112,3441,2887,1551,1170,3347
3280,1599,1314,3394,2949,1514,1234,3307
3688,1726,1463,3248,3168,1683,1478,3266
3840,1850,1507,3532,3213,1680,1460,3260
3785,1811,1519,3434,3153,1710,1449,3310
3347,1475,1031,3531,2933,1441,1072,3345
3328,1466,1052,3455,2843,1458,1118,3322
3199,1177,1069,2931,2893,1203,1119,2800
3111,1141,1065,2728,2274,1236,1206,2234
2316,1249,1279,2090,1560,1320,1413,1673
3012,1877,1780,2971,3058,1718,1552,3151
3697,1804,1569,3341,3202,1711,1527,3267
3821,1856,1583,3462,3170,1700,1485,3262
3464,1817,1637,3135,2825,1729,1667,2845
3257,2020,1879,3266,2857,2184,2303,3208
3297,1485,1066,3431,2851,1471,1129,3282
3246,1455,1061,3374,2857,1501,1102,3247
3255,1936,1611,3048,2817,1327,1226,2839
3145,1259,1079,2915,2859,1261,1093,2776
3124,1166,1061,2802,2375,1267,1218,2363
3552,1747,1506,2996,2901,1653,1506,2882
3315,1655,1300,2911,2802,1841,1677,2985
3100,1782,1511,2890,2764,1339,1247,2792
3174,1298,1081,3000,2853,1208,1104,2788
3114,1196,1079,2956,2346,1229,1195,2360
3752,1701,1454,3393,3181,1599,1383,3047
3658,1771,1449,3303,3082,1696,1398,3172
3512,1596,1412,3160,2596,1427,1515,2654
